"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"9","50","false","50","{breed random-profiles}","10","-3","-6"
"10","50","false","0","{breed random-profiles}","1","-1","-1"
"10","50","false","1","{breed attack-profiles}","1","0","0"
"10","50","false","2","{breed attack-profiles}","2","0","0"
"10","50","false","3","{breed attack-profiles}","1","0","0"
"10","50","false","4","{breed attack-profiles}","3","0","0"
"10","50","false","5","{breed random-profiles}","1","1","1"
"10","50","false","6","{breed attack-profiles}","2","2","2"
"10","50","false","7","{breed random-profiles}","2","-1","0"
"10","50","false","8","{breed attack-profiles}","4","3","3"
"10","50","false","9","{breed random-profiles}","3","1","1"
"10","50","false","10","{breed attack-profiles}","3","3","5"
"10","50","false","11","{breed random-profiles}","4","1","2"
"10","50","false","12","{breed attack-profiles}","4","2","7"
"10","50","false","13","{breed random-profiles}","5","-1","1"
